åldersgräns,Åldersgränser
glukos,Aldohexoser
ålderdom,Åldrar
barndom,Åldrar
tonåring,Åldrar
ungdom,Åldrar
Ungdom,Åldrar
penning,Äldre_svenska_mynt
lispund,Äldre_svenska_viktmått
skålpund,Äldre_svenska_viktmått
handfull,Äldre_svenska_volymmått
skäppa,Äldre_svenska_volymmått
sjukhem,Äldreomsorg
vårdhem,Äldreomsorg
Nobelpriset,Alfred_Nobel
vektor,Algebra
Agar,Alger
algerier,Algeriet
nikotin,Alkaloider
stryknin,Alkaloider
propan,Alkaner
Isaac Newton,Alkemister
berusning,Alkohol
etanol,Alkohol
fylleri,Alkohol
Sturm,Alkohol
återställare,Alkoholdrycker
mentol,Alkoholer
alkoholism,Alkoholmissbruk
IFK Lidingö,Alliansföreningar_i_Sverige
Västerås SK,Alliansföreningar_i_Sverige
grammatik,Allmän_lingvistik
semantik,Allmän_lingvistik
rättighet,Allmän_rättslära
gravitation,Allmän_relativitetsteori
attentat,Allmänfarliga_brott
kapning,Allmänfarliga_brott
mordbrand,Allmänfarliga_brott
narkotikabrott,Allmänfarliga_brott
sabotage,Allmänfarliga_brott
påskdagen,Allmänna_helgdagar_i_Sverige
roddbåt,Allmogebåtar
Gud,Allsmäktiga_gudar
almanacka,Almanackor
linbana,Alpin_skidsport
skidbacke,Alpin_skidsport
släplift,Alpin_skidsport
storslalom,Alpin_skidsport
altarskåp,Altare
healing,Alternativmedicin
lavemang,Alternativmedicin
naturläkare,Alternativmedicin
zonterapi,Alternativmedicin
Stig Hadenius,Alumner_från_Göteborgs_universitet
Susanna Roxman,Alumner_från_Göteborgs_universitet
Caspar David Friedrich,Alumner_från_Greifswalds_universitet
Thomas Thorild,Alumner_från_Greifswalds_universitet
Bo Ramfors,Alumner_från_Lunds_universitet
Esaias Tegnér,Alumner_från_Lunds_universitet
Lars Vilks,Alumner_från_Lunds_universitet
Chen Kaige,Alumner_från_Pekings_filmhögskola
Fredrik Reinfeldt,Alumner_från_Stockholms_universitet
Gunnar Sundell,Alumner_från_Stockholms_universitet
Horace Engdahl,Alumner_från_Stockholms_universitet
Jan Stenberg,Alumner_från_Stockholms_universitet
Lena Ag,Alumner_från_Stockholms_universitet
Pär Granstedt,Alumner_från_Stockholms_universitet
Åke Sjöholm,Alumner_från_Uppsala_universitet
August Strindberg,Alumner_från_Uppsala_universitet
Carl Jonas Love Almqvist,Alumner_från_Uppsala_universitet
Ellen Fries,Alumner_från_Uppsala_universitet
Erik Axel Karlfeldt,Alumner_från_Uppsala_universitet
Erik Gustaf Geijer,Alumner_från_Uppsala_universitet
Erik Wellander,Alumner_från_Uppsala_universitet
Frans Michael Franzén,Alumner_från_Uppsala_universitet
Gustaf Fröding,Alumner_från_Uppsala_universitet
Harry Järv,Alumner_från_Uppsala_universitet
Henrik Schück,Alumner_från_Uppsala_universitet
Hjalmar Branting,Alumner_från_Uppsala_universitet
Jan Stenbeck,Alumner_från_Uppsala_universitet
Karl XII,Alumner_från_Uppsala_universitet
Lars Rask,Alumner_från_Uppsala_universitet
Olof Rydbeck,Alumner_från_Uppsala_universitet
Sara Lidman,Alumner_från_Uppsala_universitet
mangold,Amarantväxter
rödbeta,Amarantväxter
sockerbeta,Amarantväxter
spenat,Amarantväxter
påsklilja,Amaryllisväxter
anropssignal,Amatörradio
kommunikationsradio,Amatörradio
ambassad,Ambassader
Nordamerika,Amerika
Sydamerika,Amerika
Hollywood,Amerikansk_film
Cassius Clay,Amerikanska_abolitionister
Tim Burton,Amerikanska_animatörer
Erving Goffman,Amerikanska_antropologer
Franz Boas,Amerikanska_antropologer
Michael Jordan,Amerikanska_basketspelare
Ford,Amerikanska_biltillverkare
Mercury,Amerikanska_biltillverkare
Buddy Guy,Amerikanska_bluessångare
Elmore James,Amerikanska_bluessångare
John Lee Hooker,Amerikanska_bluessångare
Random House,Amerikanska_bokförlag
Simon & Schuster,Amerikanska_bokförlag
Dolly Parton,Amerikanska_countrysångare
Batman,Amerikanska_dagspresserier
San Francisco Chronicle,Amerikanska_dagstidningar
Isadora Duncan,Amerikanska_dansare
Sean Young,Amerikanska_dansare
pudding,Amerikanska_desserter
Big,Amerikanska_dramafilmer
blindskär,Amerikanska_dramafilmer
kärleksbrev,Amerikanska_dramafilmer
Warner Brothers,Amerikanska_filmbolag
Mark Isham,Amerikanska_filmmusikkompositörer
Oscar,Amerikanska_filmpriser
Blake Edwards,Amerikanska_filmproducenter
David Zucker,Amerikanska_filmproducenter
Gus Van Sant,Amerikanska_filmproducenter
John Landis,Amerikanska_filmproducenter
Mel Brooks,Amerikanska_filmproducenter
Spike Lee,Amerikanska_filmproducenter
Sylvester Stallone,Amerikanska_filmproducenter
Jim Jarmusch,Amerikanska_filmregissörer
Bell Labs,Amerikanska_företag
Ralph Waldo Emerson,Amerikanska_författare
David Seymour,Amerikanska_fotografer_under_1900-talet
Andie MacDowell,Amerikanska_fotomodeller
Jane Fonda,Amerikanska_fotomodeller
Marilyn Monroe,Amerikanska_fotomodeller
Dr. John,Amerikanska_gitarrister
Louis Armstrong,Amerikanska_jazztrumpetare
Hillary Clinton,Amerikanska_jurister
Nils Lofgren,Amerikanska_keyboardister
Old Navy,Amerikanska_klädmärken
George Lakoff,Amerikanska_kognitionsvetare
föräldraskap,Amerikanska_komedifilmer
Bernard Berenson,Amerikanska_konsthistoriker
Robert Smithson,Amerikanska_konstnärer
Andra världskriget,Amerikanska_krig
Irakkriget,Amerikanska_krig
Vietnamkriget,Amerikanska_krig
Kathryn Bigelow,Amerikanska_manusförfattare
hamburgare,Amerikanska_maträtter
Elf,Amerikanska_metalgrupper
Metallica,Amerikanska_metalgrupper
Carl-Gustaf Rossby,Amerikanska_meteorologer
Edward Lorenz,Amerikanska_meteorologer
